date,Chelsea Football Club,isPartial
2016-03-01 13:44:00,8,False
2016-03-01 13:52:00,11,False
2016-03-01 14:00:00,7,False
2016-03-01 14:08:00,13,False
2016-03-01 14:16:00,7,False
2016-03-01 14:24:00,11,False
2016-03-01 14:32:00,13,False
2016-03-01 14:40:00,7,False
2016-03-01 14:48:00,11,False
2016-03-01 14:56:00,13,False
2016-03-01 15:04:00,9,False
2016-03-01 15:12:00,13,False
2016-03-01 15:20:00,10,False
2016-03-01 15:28:00,7,False
2016-03-01 15:36:00,8,False
2016-03-01 15:44:00,7,False
2016-03-01 15:52:00,10,False
2016-03-01 16:00:00,10,False
2016-03-01 16:08:00,7,False
2016-03-01 16:16:00,15,False
2016-03-01 16:24:00,11,False
2016-03-01 16:32:00,9,False
2016-03-01 16:40:00,14,False
2016-03-01 16:48:00,11,False
2016-03-01 16:56:00,9,False
2016-03-01 17:04:00,11,False
2016-03-01 17:12:00,14,False
2016-03-01 17:20:00,10,False
2016-03-01 17:28:00,14,False
2016-03-01 17:36:00,6,False
2016-03-01 17:44:00,8,False
2016-03-01 17:52:00,15,False
2016-03-01 18:00:00,13,False
2016-03-01 18:08:00,10,False
2016-03-01 18:16:00,14,False
2016-03-01 18:24:00,12,False
2016-03-01 18:32:00,14,False
2016-03-01 18:40:00,12,False
2016-03-01 18:48:00,14,False
2016-03-01 18:56:00,17,False
2016-03-01 19:04:00,17,False
2016-03-01 19:12:00,17,False
2016-03-01 19:20:00,11,False
2016-03-01 19:28:00,18,False
2016-03-01 19:36:00,23,False
2016-03-01 19:44:00,61,False
2016-03-01 19:52:00,89,False
2016-03-01 20:00:00,83,False
2016-03-01 20:08:00,67,False
2016-03-01 20:16:00,66,False
2016-03-01 20:24:00,67,False
2016-03-01 20:32:00,100,False
2016-03-01 20:40:00,83,False
2016-03-01 20:48:00,85,False
2016-03-01 20:56:00,71,False
2016-03-01 21:04:00,81,False
2016-03-01 21:12:00,78,False
2016-03-01 21:20:00,70,False
2016-03-01 21:28:00,78,False
2016-03-01 21:36:00,82,False
2016-03-01 21:44:00,71,False
2016-03-01 21:52:00,49,False
2016-03-01 22:00:00,47,False
2016-03-01 22:08:00,59,False
2016-03-01 22:16:00,39,False
2016-03-01 22:24:00,34,False
2016-03-01 22:32:00,30,False
2016-03-01 22:40:00,24,False
2016-03-01 22:48:00,25,False
2016-03-01 22:56:00,35,False
2016-03-05 01:04:00,11,False
2016-03-05 01:12:00,7,False
2016-03-05 01:20:00,4,False
2016-03-05 01:28:00,4,False
2016-03-05 01:36:00,11,False
2016-03-05 01:44:00,5,False
2016-03-05 01:52:00,5,False
2016-03-05 02:00:00,12,False
2016-03-05 02:08:00,12,False
2016-03-05 02:16:00,7,False
2016-03-05 02:24:00,3,False
2016-03-05 02:32:00,7,False
2016-03-05 02:40:00,11,False
2016-03-05 02:48:00,1,False
2016-03-05 02:56:00,8,False
2016-03-05 03:04:00,10,False
2016-03-05 03:12:00,9,False
2016-03-05 03:20:00,3,False
2016-03-05 03:28:00,6,False
2016-03-05 03:36:00,6,False
2016-03-05 03:44:00,12,False
2016-03-05 03:52:00,6,False
2016-03-05 04:00:00,9,False
2016-03-05 04:08:00,6,False
2016-03-05 04:16:00,9,False
2016-03-05 04:24:00,6,False
2016-03-05 04:32:00,2,False
2016-03-05 04:40:00,6,False
2016-03-05 04:48:00,5,False
2016-03-05 04:56:00,3,False
2016-03-05 05:04:00,8,False
2016-03-05 05:12:00,6,False
2016-03-05 05:20:00,14,False
2016-03-05 05:28:00,5,False
2016-03-05 05:36:00,2,False
2016-03-05 05:44:00,8,False
2016-03-05 05:52:00,11,False
2016-03-05 06:00:00,11,False
2016-03-05 06:08:00,5,False
2016-03-05 06:16:00,9,False
2016-03-05 06:24:00,7,False
2016-03-05 06:32:00,3,False
