date,Liverpool Football Club,Liverpool,isPartial
2015-09-26 14:00:00,0,100,False
2015-09-26 14:08:00,0,85,False
2015-09-26 14:16:00,0,73,False
2015-09-26 14:24:00,0,70,False
2015-09-26 14:32:00,0,67,False
2015-09-26 14:40:00,0,64,False
2015-09-26 14:48:00,0,62,False
2015-09-26 14:56:00,0,61,False
2015-09-26 15:04:00,0,63,False
2015-09-26 15:12:00,0,72,False
2015-09-26 15:20:00,0,71,False
2015-09-26 15:28:00,0,76,False
2015-09-26 15:36:00,0,67,False
2015-09-26 15:44:00,0,65,False
2015-09-26 15:52:00,0,78,False
2015-09-26 16:00:00,0,65,False
2015-09-26 16:08:00,0,58,False
2015-09-26 16:16:00,0,53,False
2015-09-26 16:24:00,0,50,False
2015-09-26 16:32:00,0,47,False
2015-09-26 16:40:00,0,45,False
2015-09-26 16:48:00,0,44,False
2015-09-26 16:56:00,0,42,False
2015-09-26 17:04:00,0,42,False
2015-09-26 17:12:00,0,41,False
2015-09-26 17:20:00,0,40,False
2015-09-26 17:28:00,0,38,False
2015-09-26 17:36:00,0,39,False
2015-09-26 17:44:00,0,38,False
2015-09-26 17:52:00,0,36,False
2015-09-26 18:00:00,0,36,False
2015-09-26 18:08:00,0,35,False
2015-09-26 18:16:00,0,35,False
2015-09-26 18:24:00,0,38,False
2015-09-26 18:32:00,0,37,False
2015-09-26 18:40:00,0,38,False
2015-09-26 18:48:00,0,38,False
2015-09-26 18:56:00,0,34,False
2015-10-04 11:04:00,0,42,False
2015-10-04 11:12:00,0,45,False
2015-10-04 11:20:00,0,49,False
2015-10-04 11:28:00,0,57,False
2015-10-04 11:36:00,0,56,False
2015-10-04 11:44:00,0,55,False
2015-10-04 11:52:00,0,57,False
2015-10-04 12:00:00,0,63,False
2015-10-04 12:08:00,0,65,False
2015-10-04 12:16:00,0,75,False
2015-10-04 12:24:00,0,94,False
2015-10-04 12:32:00,0,98,False
2015-10-04 12:40:00,0,91,False
2015-10-04 12:48:00,0,91,False
2015-10-04 12:56:00,0,86,False
2015-10-04 13:04:00,0,84,False
2015-10-04 13:12:00,0,95,False
2015-10-04 13:20:00,0,89,False
2015-10-04 13:28:00,0,81,False
2015-10-04 13:36:00,0,86,False
2015-10-04 13:44:00,0,87,False
2015-10-04 13:52:00,0,86,False
2015-10-04 14:00:00,0,88,False
2015-10-04 14:08:00,0,85,False
2015-10-04 14:16:00,0,80,False
2015-10-04 14:24:00,0,100,False
2015-10-04 14:32:00,0,75,False
2015-10-04 14:40:00,0,66,False
2015-10-04 14:48:00,0,58,False
2015-10-04 14:56:00,0,53,False
2015-10-04 15:04:00,0,49,False
2015-10-04 15:12:00,0,47,False
2015-10-04 15:20:00,0,46,False
2015-10-04 15:28:00,0,44,False
2015-10-04 15:36:00,0,42,False
2015-10-04 15:44:00,0,43,False
2015-10-04 15:52:00,0,40,False
2015-10-04 16:00:00,0,38,False
2015-10-04 16:08:00,0,34,False
2015-10-04 16:16:00,0,36,False
2015-10-04 16:24:00,0,34,False
2015-10-04 16:32:00,0,34,False
2015-10-04 16:40:00,0,34,False
2015-10-04 16:48:00,0,37,False
2015-10-04 16:56:00,0,35,False
2015-10-17 10:00:00,0,31,False
2015-10-17 10:08:00,0,30,False
2015-10-17 10:16:00,0,33,False
2015-10-17 10:24:00,0,36,False
2015-10-17 10:32:00,0,40,False
2015-10-17 10:40:00,0,42,False
2015-10-17 10:48:00,0,47,False
2015-10-17 10:56:00,0,48,False
2015-10-17 11:04:00,0,50,False
2015-10-17 11:12:00,0,52,False
2015-10-17 11:20:00,0,57,False
2015-10-17 11:28:00,0,68,False
2015-10-17 11:36:00,0,81,False
2015-10-17 11:44:00,0,100,False
2015-10-17 11:52:00,0,92,False
2015-10-17 12:00:00,0,87,False
2015-10-17 12:08:00,0,79,False
2015-10-17 12:16:00,0,74,False
2015-10-17 12:24:00,0,72,False
2015-10-17 12:32:00,0,75,False
2015-10-17 12:40:00,0,70,False
2015-10-17 12:48:00,0,71,False
2015-10-17 12:56:00,0,76,False
2015-10-17 13:04:00,0,72,False
2015-10-17 13:12:00,0,73,False
2015-10-17 13:20:00,0,71,False
2015-10-17 13:28:00,0,68,False
2015-10-17 13:36:00,0,80,False
2015-10-17 13:44:00,0,64,False
2015-10-17 13:52:00,0,54,False
2015-10-17 14:00:00,0,49,False
2015-10-17 14:08:00,0,44,False
2015-10-17 14:16:00,0,42,False
2015-10-17 14:24:00,0,40,False
2015-10-17 14:32:00,0,38,False
2015-10-17 14:40:00,0,35,False
2015-10-17 14:48:00,0,36,False
2015-10-17 14:56:00,0,33,False
2015-10-17 15:04:00,0,30,False
2015-10-17 15:12:00,0,30,False
2015-10-17 15:20:00,0,31,False
2015-10-17 15:28:00,0,31,False
2015-10-17 15:36:00,0,29,False
2015-10-17 15:44:00,0,28,False
2015-10-17 15:52:00,0,30,False
2015-10-17 16:00:00,0,28,False
2015-10-25 14:00:00,0,34,False
2015-10-25 14:08:00,0,35,False
2015-10-25 14:16:00,0,35,False
2015-10-25 14:24:00,0,35,False
2015-10-25 14:32:00,0,36,False
2015-10-25 14:40:00,0,37,False
2015-10-25 14:48:00,0,44,False
2015-10-25 14:56:00,0,43,False
2015-10-25 15:04:00,0,44,False
2015-10-25 15:12:00,0,43,False
2015-10-25 15:20:00,0,46,False
2015-10-25 15:28:00,0,46,False
2015-10-25 15:36:00,0,46,False
2015-10-25 15:44:00,0,50,False
2015-10-25 15:52:00,0,72,False
2015-10-25 16:00:00,0,86,False
2015-10-25 16:08:00,0,94,False
2015-10-25 16:16:00,0,92,False
2015-10-25 16:24:00,0,83,False
2015-10-25 16:32:00,0,83,False
2015-10-25 16:40:00,0,80,False
2015-10-25 16:48:00,0,77,False
2015-10-25 16:56:00,0,79,False
2015-10-25 17:04:00,0,76,False
2015-10-25 17:12:00,0,76,False
2015-10-25 17:20:00,0,86,False
2015-10-25 17:28:00,0,92,False
2015-10-25 17:36:00,0,91,False
2015-10-25 17:44:00,0,100,False
2015-10-25 17:52:00,0,100,False
2015-10-25 18:00:00,0,97,False
2015-10-25 18:08:00,0,99,False
2015-10-25 18:16:00,0,77,False
2015-10-25 18:24:00,0,69,False
2015-10-25 18:32:00,0,61,False
2015-10-25 18:40:00,0,58,False
2015-10-25 18:48:00,0,54,False
2015-10-25 18:56:00,0,52,False
2015-10-25 19:04:00,0,49,False
2015-10-25 19:12:00,0,47,False
2015-10-25 19:20:00,0,47,False
2015-10-25 19:28:00,0,43,False
2015-10-25 19:36:00,0,43,False
2015-10-25 19:44:00,0,45,False
2015-10-25 19:52:00,0,42,False
2015-10-25 20:00:00,0,40,False
2015-10-31 10:00:00,0,19,False
2015-10-31 10:08:00,0,20,False
2015-10-31 10:16:00,0,20,False
2015-10-31 10:24:00,0,21,False
2015-10-31 10:32:00,0,22,False
2015-10-31 10:40:00,0,22,False
2015-10-31 10:48:00,0,23,False
2015-10-31 10:56:00,0,25,False
2015-10-31 11:04:00,0,25,False
2015-10-31 11:12:00,0,28,False
2015-10-31 11:20:00,0,30,False
2015-10-31 11:28:00,0,31,False
2015-10-31 11:36:00,0,35,False
2015-10-31 11:44:00,0,39,False
2015-10-31 11:52:00,0,39,False
2015-10-31 12:00:00,0,41,False
2015-10-31 12:08:00,0,41,False
2015-10-31 12:16:00,0,43,False
2015-10-31 12:24:00,0,49,False
2015-10-31 12:32:00,0,59,False
2015-10-31 12:40:00,0,76,False
2015-10-31 12:48:00,0,89,False
2015-10-31 12:56:00,0,78,False
2015-10-31 13:04:00,0,69,False
2015-10-31 13:12:00,0,64,False
2015-10-31 13:20:00,0,65,False
2015-10-31 13:28:00,0,66,False
2015-10-31 13:36:00,0,69,False
2015-10-31 13:44:00,0,67,False
2015-10-31 13:52:00,0,69,False
2015-10-31 14:00:00,0,71,False
2015-10-31 14:08:00,0,69,False
2015-10-31 14:16:00,0,85,False
2015-10-31 14:24:00,0,98,False
2015-10-31 14:32:00,0,90,False
2015-10-31 14:40:00,0,100,False
2015-10-31 14:48:00,0,80,False
2015-10-31 14:56:00,0,69,False
2015-10-31 15:04:00,0,60,False
2015-10-31 15:12:00,0,53,False
2015-10-31 15:20:00,0,50,False
2015-10-31 15:28:00,0,48,False
2015-10-31 15:36:00,0,44,False
2015-10-31 15:44:00,0,44,False
2015-10-31 15:52:00,0,40,False
2015-10-31 16:00:00,0,36,False
2015-11-08 14:00:00,0,32,False
2015-11-08 14:08:00,0,32,False
2015-11-08 14:16:00,0,34,False
2015-11-08 14:24:00,0,34,False
2015-11-08 14:32:00,0,35,False
2015-11-08 14:40:00,0,34,False
2015-11-08 14:48:00,0,35,False
2015-11-08 14:56:00,0,38,False
2015-11-08 15:04:00,0,41,False
2015-11-08 15:12:00,0,40,False
2015-11-08 15:20:00,0,50,False
2015-11-08 15:28:00,0,51,False
2015-11-08 15:36:00,0,56,False
2015-11-08 15:44:00,0,67,False
2015-11-08 15:52:00,0,84,False
2015-11-08 16:00:00,0,100,False
2015-11-08 16:08:00,0,86,False
2015-11-08 16:16:00,0,81,False
2015-11-08 16:24:00,0,76,False
2015-11-08 16:32:00,0,71,False
2015-11-08 16:40:00,0,72,False
2015-11-08 16:48:00,0,71,False
2015-11-08 16:56:00,0,68,False
2015-11-08 17:04:00,0,72,False
2015-11-08 17:12:00,0,73,False
