date,Norwich City Football Club,isPartial
2015-09-26 18:08:00,25,False
2015-09-26 18:16:00,25,False
2015-09-26 18:24:00,51,False
2015-09-26 18:32:00,26,False
2015-09-26 18:40:00,51,False
2015-09-26 18:48:00,26,False
2015-09-26 18:56:00,52,False
2015-10-03 13:04:00,44,False
2015-10-03 13:12:00,66,False
2015-10-03 13:20:00,43,False
2015-10-03 13:28:00,21,False
2015-10-03 13:36:00,43,False
2015-10-03 13:44:00,0,False
2015-10-03 13:52:00,21,False
2015-10-03 14:00:00,21,False
2015-10-03 14:08:00,83,False
2015-10-03 14:16:00,21,False
2015-10-03 14:24:00,20,False
2015-10-03 14:32:00,0,False
2015-10-03 14:40:00,61,False
2015-10-03 14:48:00,60,False
2015-10-03 14:56:00,40,False
2015-10-03 15:04:00,0,False
2015-10-03 15:12:00,40,False
2015-10-03 15:20:00,40,False
2015-10-03 15:28:00,60,False
2015-10-03 15:36:00,100,False
2015-10-03 15:44:00,60,False
2015-10-03 15:52:00,99,False
2015-10-03 16:00:00,99,False
2015-10-03 16:08:00,40,False
2015-10-03 16:16:00,40,False
2015-10-03 16:24:00,80,False
2015-10-03 16:32:00,20,False
2015-10-03 16:40:00,40,False
2015-10-03 16:48:00,0,False
2015-10-03 16:56:00,41,False
2015-10-03 17:04:00,41,False
2015-10-03 17:12:00,41,False
2015-10-03 17:20:00,41,False
2015-10-03 17:28:00,21,False
2015-10-03 17:36:00,62,False
2015-10-03 17:44:00,42,False
2015-10-03 17:52:00,21,False
2015-10-03 18:00:00,85,False
2015-10-03 18:08:00,0,False
2015-10-03 18:16:00,43,False
2015-10-03 18:24:00,0,False
2015-10-03 18:32:00,43,False
2015-10-03 18:40:00,65,False
2015-10-03 18:48:00,44,False
2015-10-03 18:56:00,22,False
2015-10-18 14:00:00,13,False
2015-10-18 14:08:00,0,False
2015-10-18 14:16:00,0,False
2015-10-18 14:24:00,26,False
2015-10-18 14:32:00,38,False
2015-10-18 14:40:00,13,False
2015-10-18 14:48:00,50,False
2015-10-18 14:56:00,38,False
2015-10-18 15:04:00,25,False
2015-10-18 15:12:00,25,False
2015-10-18 15:20:00,75,False
2015-10-18 15:28:00,100,False
2015-10-18 15:36:00,50,False
2015-10-18 15:44:00,12,False
2015-10-18 15:52:00,37,False
2015-10-18 16:00:00,49,False
2015-10-18 16:08:00,74,False
2015-10-18 16:16:00,25,False
2015-10-18 16:24:00,25,False
2015-10-18 16:32:00,37,False
2015-10-18 16:40:00,37,False
2015-10-18 16:48:00,74,False
2015-10-18 16:56:00,62,False
2015-10-18 17:04:00,25,False
2015-10-18 17:12:00,25,False
2015-10-18 17:20:00,12,False
2015-10-18 17:28:00,37,False
2015-10-18 17:36:00,13,False
2015-10-18 17:44:00,12,False
2015-10-18 17:52:00,25,False
2015-10-18 18:00:00,13,False
2015-10-18 18:08:00,0,False
2015-10-18 18:16:00,13,False
2015-10-18 18:24:00,39,False
2015-10-18 18:32:00,13,False
2015-10-18 18:40:00,26,False
2015-10-18 18:48:00,39,False
2015-10-18 18:56:00,0,False
2015-10-18 19:04:00,0,False
2015-10-18 19:12:00,0,False
2015-10-18 19:20:00,0,False
2015-10-18 19:28:00,27,False
2015-10-18 19:36:00,14,False
2015-10-18 19:44:00,14,False
2015-10-18 19:52:00,0,False
2015-10-18 20:00:00,0,False
2015-10-24 13:04:00,0,False
2015-10-24 13:12:00,0,False
2015-10-24 13:20:00,0,False
2015-10-24 13:28:00,0,False
2015-10-24 13:36:00,0,False
2015-10-24 13:44:00,0,False
2015-10-24 13:52:00,0,False
2015-10-24 14:00:00,0,False
2015-10-24 14:08:00,0,False
2015-10-24 14:16:00,0,False
2015-10-24 14:24:00,0,False
2015-10-24 14:32:00,0,False
2015-10-24 14:40:00,0,False
2015-10-24 14:48:00,0,False
2015-10-24 14:56:00,0,False
2015-10-24 15:04:00,0,False
2015-10-24 15:12:00,0,False
2015-10-24 15:20:00,0,False
2015-10-24 15:28:00,0,False
2015-10-24 15:36:00,0,False
2015-10-24 15:44:00,0,False
2015-10-24 15:52:00,0,False
2015-10-24 16:00:00,0,False
2015-10-24 16:08:00,0,False
2015-10-24 16:16:00,0,False
2015-10-24 16:24:00,0,False
2015-10-24 16:32:00,0,False
2015-10-24 16:40:00,0,False
2015-10-24 16:48:00,0,False
2015-10-24 16:56:00,100,False
2015-10-24 17:04:00,25,False
2015-10-24 17:12:00,0,False
2015-10-24 17:20:00,25,False
2015-10-24 17:28:00,0,False
2015-10-24 17:36:00,26,False
2015-10-24 17:44:00,52,False
2015-10-24 17:52:00,52,False
2015-10-24 18:00:00,26,False
2015-10-24 18:08:00,0,False
2015-10-24 18:16:00,27,False
2015-10-24 18:24:00,27,False
2015-10-24 18:32:00,0,False
2015-10-24 18:40:00,54,False
2015-10-24 18:48:00,0,False
2015-10-24 18:56:00,82,False
2015-10-31 13:04:00,0,False
2015-10-31 13:12:00,27,False
2015-10-31 13:20:00,0,False
2015-10-31 13:28:00,26,False
2015-10-31 13:36:00,0,False
2015-10-31 13:44:00,26,False
2015-10-31 13:52:00,52,False
2015-10-31 14:00:00,26,False
2015-10-31 14:08:00,26,False
2015-10-31 14:16:00,26,False
2015-10-31 14:24:00,0,False
2015-10-31 14:32:00,0,False
2015-10-31 14:40:00,25,False
2015-10-31 14:48:00,25,False
2015-10-31 14:56:00,49,False
2015-10-31 15:04:00,25,False
2015-10-31 15:12:00,74,False
2015-10-31 15:20:00,0,False
2015-10-31 15:28:00,0,False
2015-10-31 15:36:00,98,False
2015-10-31 15:44:00,0,False
2015-10-31 15:52:00,24,False
2015-10-31 16:00:00,73,False
2015-10-31 16:08:00,25,False
2015-10-31 16:16:00,49,False
2015-10-31 16:24:00,74,False
2015-10-31 16:32:00,25,False
2015-10-31 16:40:00,75,False
2015-10-31 16:48:00,96,False
2015-10-31 16:56:00,48,False
2015-10-31 17:04:00,50,False
2015-10-31 17:12:00,100,False
2015-10-31 17:20:00,0,False
2015-10-31 17:28:00,0,False
2015-10-31 17:36:00,0,False
2015-10-31 17:44:00,51,False
2015-10-31 17:52:00,25,False
2015-10-31 18:00:00,0,False
2015-10-31 18:08:00,0,False
2015-10-31 18:16:00,26,False
2015-10-31 18:24:00,26,False
2015-10-31 18:32:00,0,False
2015-10-31 18:40:00,27,False
2015-10-31 18:48:00,0,False
2015-10-31 18:56:00,27,False
2015-11-07 13:04:00,0,False
2015-11-07 13:12:00,18,False
2015-11-07 13:20:00,18,False
