date,Leicester City Football Club,Leicester City,isPartial
2015-10-24 14:08:00,1,56,False
2015-10-24 14:16:00,1,68,False
2015-10-24 14:24:00,1,64,False
2015-10-24 14:32:00,2,58,False
2015-10-24 14:40:00,0,52,False
2015-10-24 14:48:00,1,58,False
2015-10-24 14:56:00,1,58,False
2015-10-24 15:04:00,1,65,False
2015-10-24 15:12:00,1,84,False
2015-10-24 15:20:00,2,83,False
2015-10-24 15:28:00,2,92,False
2015-10-24 15:36:00,1,89,False
2015-10-24 15:44:00,1,88,False
2015-10-24 15:52:00,2,100,False
2015-10-24 16:00:00,1,76,False
2015-10-24 16:08:00,1,63,False
2015-10-24 16:16:00,1,59,False
2015-10-24 16:24:00,0,61,False
2015-10-24 16:32:00,1,40,False
2015-10-24 16:40:00,0,40,False
2015-10-24 16:48:00,1,46,False
2015-10-24 16:56:00,0,42,False
2015-10-24 17:04:00,1,34,False
2015-10-24 17:12:00,0,31,False
2015-10-24 17:20:00,0,37,False
2015-10-24 17:28:00,1,38,False
2015-10-24 17:36:00,0,33,False
2015-10-24 17:44:00,1,35,False
2015-10-24 17:52:00,0,31,False
2015-10-24 18:00:00,0,31,False
2015-10-24 18:08:00,0,27,False
2015-10-24 18:16:00,0,29,False
2015-10-24 18:24:00,0,31,False
2015-10-24 18:32:00,0,29,False
2015-10-24 18:40:00,0,30,False
2015-10-24 18:48:00,1,29,False
2015-10-24 18:56:00,0,29,False
2015-10-31 13:04:00,0,13,False
2015-10-31 13:12:00,0,16,False
2015-10-31 13:20:00,1,15,False
2015-10-31 13:28:00,0,11,False
2015-10-31 13:36:00,0,18,False
2015-10-31 13:44:00,0,13,False
2015-10-31 13:52:00,0,15,False
2015-10-31 14:00:00,0,22,False
2015-10-31 14:08:00,0,19,False
2015-10-31 14:16:00,0,20,False
2015-10-31 14:24:00,0,23,False
2015-10-31 14:32:00,0,23,False
2015-10-31 14:40:00,0,25,False
2015-10-31 14:48:00,0,26,False
2015-10-31 14:56:00,0,30,False
2015-10-31 15:04:00,0,31,False
2015-10-31 15:12:00,0,38,False
2015-10-31 15:20:00,0,36,False
2015-10-31 15:28:00,1,44,False
2015-10-31 15:36:00,1,40,False
2015-10-31 15:44:00,1,40,False
2015-10-31 15:52:00,0,42,False
2015-10-31 16:00:00,1,51,False
2015-10-31 16:08:00,1,58,False
2015-10-31 16:16:00,1,75,False
2015-10-31 16:24:00,0,87,False
2015-10-31 16:32:00,2,97,False
2015-10-31 16:40:00,1,79,False
2015-10-31 16:48:00,0,96,False
2015-10-31 16:56:00,1,100,False
2015-10-31 17:04:00,1,72,False
2015-10-31 17:12:00,1,60,False
2015-10-31 17:20:00,0,61,False
2015-10-31 17:28:00,1,56,False
2015-10-31 17:36:00,0,41,False
2015-10-31 17:44:00,0,40,False
2015-10-31 17:52:00,0,46,False
2015-10-31 18:00:00,1,41,False
2015-10-31 18:08:00,1,40,False
2015-10-31 18:16:00,0,34,False
2015-10-31 18:24:00,0,36,False
2015-10-31 18:32:00,1,31,False
2015-10-31 18:40:00,1,36,False
2015-10-31 18:48:00,0,38,False
2015-10-31 18:56:00,0,34,False
2015-11-07 13:04:00,0,15,False
2015-11-07 13:12:00,0,15,False
2015-11-07 13:20:00,0,14,False
2015-11-07 13:28:00,0,16,False
2015-11-07 13:36:00,0,13,False
2015-11-07 13:44:00,0,16,False
2015-11-07 13:52:00,0,17,False
2015-11-07 14:00:00,0,19,False
2015-11-07 14:08:00,0,19,False
2015-11-07 14:16:00,0,17,False
2015-11-07 14:24:00,0,17,False
2015-11-07 14:32:00,0,20,False
2015-11-07 14:40:00,0,24,False
2015-11-07 14:48:00,0,24,False
2015-11-07 14:56:00,0,36,False
2015-11-07 15:04:00,0,31,False
2015-11-07 15:12:00,1,37,False
2015-11-07 15:20:00,0,33,False
2015-11-07 15:28:00,0,34,False
2015-11-07 15:36:00,0,33,False
2015-11-07 15:44:00,1,40,False
2015-11-07 15:52:00,0,41,False
2015-11-07 16:00:00,1,43,False
2015-11-07 16:08:00,1,69,False
2015-11-07 16:16:00,1,71,False
2015-11-07 16:24:00,1,94,False
2015-11-07 16:32:00,2,70,False
2015-11-07 16:40:00,1,69,False
2015-11-07 16:48:00,1,100,False
2015-11-07 16:56:00,0,86,False
2015-11-07 17:04:00,0,69,False
2015-11-07 17:12:00,0,59,False
2015-11-07 17:20:00,1,45,False
2015-11-07 17:28:00,1,45,False
2015-11-07 17:36:00,1,38,False
2015-11-07 17:44:00,0,35,False
2015-11-07 17:52:00,0,35,False
2015-11-07 18:00:00,0,35,False
2015-11-07 18:08:00,0,34,False
2015-11-07 18:16:00,0,34,False
2015-11-07 18:24:00,0,33,False
2015-11-07 18:32:00,0,34,False
2015-11-07 18:40:00,0,26,False
2015-11-07 18:48:00,0,27,False
2015-11-07 18:56:00,0,27,False
2015-11-21 13:04:00,0,9,False
2015-11-21 13:12:00,0,11,False
2015-11-21 13:20:00,0,11,False
2015-11-21 13:28:00,0,10,False
2015-11-21 13:36:00,0,12,False
2015-11-21 13:44:00,0,11,False
2015-11-21 13:52:00,0,8,False
2015-11-21 14:00:00,0,11,False
2015-11-21 14:08:00,0,11,False
2015-11-21 14:16:00,0,14,False
2015-11-21 14:24:00,0,11,False
2015-11-21 14:32:00,0,17,False
2015-11-21 14:40:00,0,19,False
2015-11-21 14:48:00,0,22,False
2015-11-21 14:56:00,0,24,False
2015-11-21 15:04:00,0,25,False
2015-11-21 15:12:00,0,26,False
2015-11-21 15:20:00,0,25,False
2015-11-21 15:28:00,0,30,False
2015-11-21 15:36:00,0,31,False
2015-11-21 15:44:00,1,58,False
2015-11-21 15:52:00,0,61,False
2015-11-21 16:00:00,1,53,False
2015-11-21 16:08:00,0,54,False
2015-11-21 16:16:00,0,59,False
2015-11-21 16:24:00,1,61,False
2015-11-21 16:32:00,1,60,False
2015-11-21 16:40:00,1,70,False
2015-11-21 16:48:00,1,100,False
2015-11-21 16:56:00,1,86,False
2015-11-21 17:04:00,2,69,False
2015-11-21 17:12:00,0,49,False
2015-11-21 17:20:00,1,47,False
2015-11-21 17:28:00,1,37,False
2015-11-21 17:36:00,0,44,False
2015-11-21 17:44:00,0,52,False
2015-11-21 17:52:00,0,55,False
2015-11-21 18:00:00,0,58,False
2015-11-21 18:08:00,1,71,False
2015-11-21 18:16:00,0,53,False
2015-11-21 18:24:00,0,45,False
2015-11-21 18:32:00,0,39,False
2015-11-21 18:40:00,0,47,False
2015-11-21 18:48:00,1,43,False
2015-11-21 18:56:00,1,51,False
2015-11-28 15:04:00,0,9,False
2015-11-28 15:12:00,0,10,False
2015-11-28 15:20:00,0,10,False
2015-11-28 15:28:00,0,10,False
2015-11-28 15:36:00,0,10,False
2015-11-28 15:44:00,0,10,False
2015-11-28 15:52:00,0,12,False
2015-11-28 16:00:00,0,12,False
2015-11-28 16:08:00,0,11,False
2015-11-28 16:16:00,0,12,False
2015-11-28 16:24:00,0,13,False
2015-11-28 16:32:00,0,15,False
2015-11-28 16:40:00,0,16,False
2015-11-28 16:48:00,0,18,False
2015-11-28 16:56:00,0,23,False
2015-11-28 17:04:00,0,28,False
2015-11-28 17:12:00,0,32,False
2015-11-28 17:20:00,0,46,False
2015-11-28 17:28:00,0,67,False
2015-11-28 17:36:00,0,63,False
2015-11-28 17:44:00,1,60,False
2015-11-28 17:52:00,1,100,False
2015-11-28 18:00:00,1,95,False
2015-11-28 18:08:00,1,76,False
2015-11-28 18:16:00,0,64,False
2015-11-28 18:24:00,0,54,False
2015-11-28 18:32:00,0,58,False
2015-11-28 18:40:00,0,70,False
2015-11-28 18:48:00,1,62,False
2015-11-28 18:56:00,1,89,False
2015-11-28 19:04:00,0,60,False
2015-11-28 19:12:00,0,61,False
2015-11-28 19:20:00,0,55,False
2015-11-28 19:28:00,0,42,False
2015-11-28 19:36:00,0,32,False
2015-11-28 19:44:00,0,28,False
2015-11-28 19:52:00,0,25,False
2015-11-28 20:00:00,0,22,False
2015-11-28 20:08:00,0,19,False
2015-11-28 20:16:00,0,19,False
2015-11-28 20:24:00,0,17,False
2015-11-28 20:32:00,0,16,False
2015-11-28 20:40:00,0,16,False
2015-11-28 20:48:00,0,15,False
2015-11-28 20:56:00,0,15,False
2015-12-05 13:04:00,0,10,False
2015-12-05 13:12:00,0,12,False
2015-12-05 13:20:00,0,10,False
2015-12-05 13:28:00,0,11,False
2015-12-05 13:36:00,0,13,False
2015-12-05 13:44:00,0,12,False
2015-12-05 13:52:00,0,11,False
2015-12-05 14:00:00,0,14,False
2015-12-05 14:08:00,0,14,False
2015-12-05 14:16:00,0,15,False
2015-12-05 14:24:00,0,16,False
2015-12-05 14:32:00,0,18,False
2015-12-05 14:40:00,0,21,False
2015-12-05 14:48:00,0,24,False
2015-12-05 14:56:00,0,30,False
2015-12-05 15:04:00,0,56,False
2015-12-05 15:12:00,0,54,False
2015-12-05 15:20:00,0,71,False
2015-12-05 15:28:00,1,66,False
2015-12-05 15:36:00,0,53,False
2015-12-05 15:44:00,0,59,False
2015-12-05 15:52:00,0,55,False
2015-12-05 16:00:00,1,51,False
2015-12-05 16:08:00,0,54,False
2015-12-05 16:16:00,0,63,False
2015-12-05 16:24:00,1,86,False
2015-12-05 16:32:00,0,70,False
2015-12-05 16:40:00,0,75,False
2015-12-05 16:48:00,1,100,False
2015-12-05 16:56:00,1,95,False
2015-12-05 17:04:00,0,74,False
2015-12-05 17:12:00,1,60,False
2015-12-05 17:20:00,1,50,False
2015-12-05 17:28:00,0,41,False
2015-12-05 17:36:00,0,41,False
2015-12-05 17:44:00,0,40,False
2015-12-05 17:52:00,0,39,False
2015-12-05 18:00:00,0,39,False
2015-12-05 18:08:00,0,32,False
2015-12-05 18:16:00,0,34,False
2015-12-05 18:24:00,0,34,False
2015-12-05 18:32:00,0,30,False
2015-12-05 18:40:00,0,31,False
2015-12-05 18:48:00,0,27,False
2015-12-05 18:56:00,1,32,False
2015-12-14 18:00:00,0,7,False
2015-12-14 18:08:00,0,7,False
2015-12-14 18:16:00,0,8,False
2015-12-14 18:24:00,0,7,False
2015-12-14 18:32:00,0,8,False
2015-12-14 18:40:00,0,9,False
2015-12-14 18:48:00,0,10,False
2015-12-14 18:56:00,0,11,False
2015-12-14 19:04:00,0,12,False
2015-12-14 19:12:00,0,13,False
2015-12-14 19:20:00,0,13,False
2015-12-14 19:28:00,0,14,False
2015-12-14 19:36:00,0,16,False
2015-12-14 19:44:00,0,20,False
2015-12-14 19:52:00,0,30,False
2015-12-14 20:00:00,0,43,False
2015-12-14 20:08:00,0,39,False
2015-12-14 20:16:00,0,40,False
2015-12-14 20:24:00,0,37,False
2015-12-14 20:32:00,1,59,False
2015-12-14 20:40:00,0,53,False
2015-12-14 20:48:00,0,49,False
2015-12-14 20:56:00,0,45,False
