date,Arsenal Football Club,isPartial
2015-11-08 15:44:00,44,False
2015-11-08 15:52:00,48,False
2015-11-08 16:00:00,48,False
2015-11-08 16:08:00,61,False
2015-11-08 16:16:00,22,False
2015-11-08 16:24:00,43,False
2015-11-08 16:32:00,52,False
2015-11-08 16:40:00,35,False
2015-11-08 16:48:00,64,False
2015-11-08 16:56:00,52,False
2015-11-08 17:04:00,56,False
2015-11-08 17:12:00,35,False
2015-11-08 17:20:00,52,False
2015-11-08 17:28:00,39,False
2015-11-08 17:36:00,100,False
2015-11-08 17:44:00,65,False
2015-11-08 17:52:00,73,False
2015-11-08 18:00:00,57,False
2015-11-08 18:08:00,84,False
2015-11-08 18:16:00,26,False
2015-11-08 18:24:00,27,False
2015-11-08 18:32:00,53,False
2015-11-08 18:40:00,40,False
2015-11-08 18:48:00,53,False
2015-11-08 18:56:00,58,False
2015-11-08 19:04:00,36,False
2015-11-08 19:12:00,49,False
2015-11-08 19:20:00,27,False
2015-11-08 19:28:00,46,False
2015-11-08 19:36:00,32,False
2015-11-08 19:44:00,0,False
2015-11-08 19:52:00,28,False
2015-11-08 20:00:00,33,False
2015-11-21 13:04:00,17,False
2015-11-21 13:12:00,26,False
2015-11-21 13:20:00,17,False
2015-11-21 13:28:00,42,False
2015-11-21 13:36:00,25,False
2015-11-21 13:44:00,17,False
2015-11-21 13:52:00,17,False
2015-11-21 14:00:00,16,False
2015-11-21 14:08:00,49,False
2015-11-21 14:16:00,32,False
2015-11-21 14:24:00,40,False
2015-11-21 14:32:00,16,False
2015-11-21 14:40:00,48,False
2015-11-21 14:48:00,24,False
2015-11-21 14:56:00,31,False
2015-11-21 15:04:00,39,False
2015-11-21 15:12:00,39,False
2015-11-21 15:20:00,70,False
2015-11-21 15:28:00,78,False
2015-11-21 15:36:00,77,False
2015-11-21 15:44:00,61,False
2015-11-21 15:52:00,54,False
2015-11-21 16:00:00,23,False
2015-11-21 16:08:00,92,False
2015-11-21 16:16:00,92,False
2015-11-21 16:24:00,69,False
2015-11-21 16:32:00,61,False
2015-11-21 16:40:00,100,False
2015-11-21 16:48:00,61,False
2015-11-21 16:56:00,75,False
2015-11-21 17:04:00,53,False
2015-11-21 17:12:00,53,False
2015-11-21 17:20:00,38,False
2015-11-21 17:28:00,38,False
2015-11-21 17:36:00,23,False
2015-11-21 17:44:00,39,False
2015-11-21 17:52:00,63,False
2015-11-21 18:00:00,24,False
2015-11-21 18:08:00,47,False
2015-11-21 18:16:00,24,False
2015-11-21 18:24:00,57,False
2015-11-21 18:32:00,49,False
2015-11-21 18:40:00,74,False
2015-11-21 18:48:00,33,False
2015-11-21 18:56:00,17,False
2015-11-29 14:00:00,21,False
2015-11-29 14:08:00,26,False
2015-11-29 14:16:00,31,False
2015-11-29 14:24:00,31,False
2015-11-29 14:32:00,35,False
2015-11-29 14:40:00,15,False
2015-11-29 14:48:00,10,False
2015-11-29 14:56:00,15,False
2015-11-29 15:04:00,20,False
2015-11-29 15:12:00,15,False
2015-11-29 15:20:00,25,False
2015-11-29 15:28:00,29,False
2015-11-29 15:36:00,39,False
2015-11-29 15:44:00,29,False
2015-11-29 15:52:00,29,False
2015-11-29 16:00:00,43,False
2015-11-29 16:08:00,43,False
2015-11-29 16:16:00,19,False
2015-11-29 16:24:00,58,False
2015-11-29 16:32:00,53,False
2015-11-29 16:40:00,57,False
2015-11-29 16:48:00,100,False
2015-11-29 16:56:00,33,False
2015-11-29 17:04:00,72,False
2015-11-29 17:12:00,48,False
2015-11-29 17:20:00,24,False
2015-11-29 17:28:00,33,False
2015-11-29 17:36:00,72,False
2015-11-29 17:44:00,48,False
2015-11-29 17:52:00,43,False
2015-11-29 18:00:00,44,False
2015-11-29 18:08:00,48,False
2015-11-29 18:16:00,19,False
2015-11-29 18:24:00,24,False
2015-11-29 18:32:00,5,False
2015-11-29 18:40:00,34,False
2015-11-29 18:48:00,29,False
2015-11-29 18:56:00,10,False
2015-11-29 19:04:00,15,False
2015-11-29 19:12:00,15,False
2015-11-29 19:20:00,35,False
2015-11-29 19:28:00,10,False
2015-11-29 19:36:00,20,False
2015-11-29 19:44:00,20,False
2015-11-29 19:52:00,10,False
2015-11-29 20:00:00,20,False
2015-12-05 13:04:00,35,False
2015-12-05 13:12:00,17,False
2015-12-05 13:20:00,9,False
2015-12-05 13:28:00,9,False
2015-12-05 13:36:00,34,False
2015-12-05 13:44:00,59,False
2015-12-05 13:52:00,25,False
2015-12-05 14:00:00,58,False
2015-12-05 14:08:00,25,False
2015-12-05 14:16:00,57,False
2015-12-05 14:24:00,49,False
2015-12-05 14:32:00,49,False
2015-12-05 14:40:00,24,False
2015-12-05 14:48:00,80,False
2015-12-05 14:56:00,16,False
2015-12-05 15:04:00,24,False
2015-12-05 15:12:00,55,False
2015-12-05 15:20:00,39,False
2015-12-05 15:28:00,47,False
2015-12-05 15:36:00,71,False
2015-12-05 15:44:00,39,False
2015-12-05 15:52:00,62,False
2015-12-05 16:00:00,16,False
2015-12-05 16:08:00,39,False
2015-12-05 16:16:00,78,False
2015-12-05 16:24:00,78,False
2015-12-05 16:32:00,70,False
2015-12-05 16:40:00,63,False
2015-12-05 16:48:00,100,False
2015-12-05 16:56:00,69,False
2015-12-05 17:04:00,31,False
2015-12-05 17:12:00,47,False
2015-12-05 17:20:00,79,False
2015-12-05 17:28:00,32,False
2015-12-05 17:36:00,48,False
2015-12-05 17:44:00,32,False
2015-12-05 17:52:00,56,False
2015-12-05 18:00:00,32,False
2015-12-05 18:08:00,66,False
2015-12-05 18:16:00,65,False
2015-12-05 18:24:00,58,False
2015-12-05 18:32:00,67,False
2015-12-05 18:40:00,59,False
2015-12-05 18:48:00,34,False
2015-12-05 18:56:00,25,False
2015-12-13 11:04:00,12,False
2015-12-13 11:12:00,37,False
2015-12-13 11:20:00,36,False
2015-12-13 11:28:00,48,False
2015-12-13 11:36:00,48,False
2015-12-13 11:44:00,23,False
2015-12-13 11:52:00,35,False
2015-12-13 12:00:00,58,False
2015-12-13 12:08:00,58,False
2015-12-13 12:16:00,45,False
2015-12-13 12:24:00,45,False
2015-12-13 12:32:00,56,False
2015-12-13 12:40:00,11,False
2015-12-13 12:48:00,65,False
2015-12-13 12:56:00,86,False
2015-12-13 13:04:00,32,False
2015-12-13 13:12:00,10,False
2015-12-13 13:20:00,41,False
2015-12-13 13:28:00,92,False
2015-12-13 13:36:00,41,False
2015-12-13 13:44:00,40,False
2015-12-13 13:52:00,80,False
2015-12-13 14:00:00,100,False
2015-12-13 14:08:00,89,False
2015-12-13 14:16:00,88,False
2015-12-13 14:24:00,39,False
2015-12-13 14:32:00,79,False
2015-12-13 14:40:00,87,False
2015-12-13 14:48:00,10,False
2015-12-13 14:56:00,67,False
2015-12-13 15:04:00,86,False
2015-12-13 15:12:00,95,False
2015-12-13 15:20:00,57,False
2015-12-13 15:28:00,75,False
2015-12-13 15:36:00,95,False
2015-12-13 15:44:00,57,False
2015-12-13 15:52:00,56,False
2015-12-13 16:00:00,65,False
2015-12-13 16:08:00,75,False
2015-12-13 16:16:00,74,False
2015-12-13 16:24:00,28,False
2015-12-13 16:32:00,84,False
2015-12-13 16:40:00,84,False
2015-12-13 16:48:00,37,False
2015-12-13 16:56:00,65,False
2015-12-21 18:00:00,8,False
2015-12-21 18:08:00,10,False
2015-12-21 18:16:00,8,False
2015-12-21 18:24:00,10,False
2015-12-21 18:32:00,8,False
2015-12-21 18:40:00,8,False
2015-12-21 18:48:00,8,False
2015-12-21 18:56:00,7,False
2015-12-21 19:04:00,11,False
2015-12-21 19:12:00,8,False
2015-12-21 19:20:00,12,False
2015-12-21 19:28:00,11,False
2015-12-21 19:36:00,10,False
2015-12-21 19:44:00,16,False
2015-12-21 19:52:00,17,False
2015-12-21 20:00:00,28,False
2015-12-21 20:08:00,36,False
2015-12-21 20:16:00,34,False
2015-12-21 20:24:00,38,False
2015-12-21 20:32:00,100,False
2015-12-21 20:40:00,85,False
2015-12-21 20:48:00,93,False
2015-12-21 20:56:00,73,False
2015-12-21 21:04:00,78,False
2015-12-21 21:12:00,62,False
2015-12-21 21:20:00,63,False
2015-12-21 21:28:00,47,False
2015-12-21 21:36:00,59,False
2015-12-21 21:44:00,65,False
2015-12-21 21:52:00,77,False
2015-12-21 22:00:00,57,False
2015-12-21 22:08:00,47,False
2015-12-21 22:16:00,47,False
2015-12-21 22:24:00,59,False
2015-12-21 22:32:00,44,False
2015-12-21 22:40:00,28,False
2015-12-21 22:48:00,36,False
2015-12-21 22:56:00,29,False
2015-12-21 23:04:00,30,False
2015-12-21 23:12:00,28,False
2015-12-21 23:20:00,29,False
2015-12-21 23:28:00,21,False
2015-12-21 23:36:00,19,False
2015-12-21 23:44:00,19,False
2015-12-21 23:52:00,18,False
2015-12-22 00:00:00,26,False
2015-12-26 17:04:00,14,False
