date,Everton Football Club,Everton,isPartial
2015-11-01 13:44:00,0,66,False
2015-11-01 13:52:00,0,64,False
2015-11-01 14:00:00,0,65,False
2015-11-01 14:08:00,0,57,False
2015-11-01 14:16:00,0,50,False
2015-11-01 14:24:00,0,52,False
2015-11-01 14:32:00,0,57,False
2015-11-01 14:40:00,0,72,False
2015-11-01 14:48:00,0,87,False
2015-11-01 14:56:00,0,91,False
2015-11-01 15:04:00,0,100,False
2015-11-01 15:12:00,0,86,False
2015-11-01 15:20:00,0,79,False
2015-11-01 15:28:00,0,74,False
2015-11-01 15:36:00,0,57,False
2015-11-01 15:44:00,0,48,False
2015-11-01 15:52:00,0,44,False
2015-11-01 16:00:00,0,37,False
2015-11-01 16:08:00,0,35,False
2015-11-01 16:16:00,0,36,False
2015-11-01 16:24:00,0,34,False
2015-11-01 16:32:00,0,31,False
2015-11-01 16:40:00,0,29,False
2015-11-01 16:48:00,0,28,False
2015-11-01 16:56:00,0,27,False
2015-11-07 13:04:00,0,29,False
2015-11-07 13:12:00,0,28,False
2015-11-07 13:20:00,0,33,False
2015-11-07 13:28:00,0,31,False
2015-11-07 13:36:00,0,33,False
2015-11-07 13:44:00,1,34,False
2015-11-07 13:52:00,0,32,False
2015-11-07 14:00:00,0,39,False
2015-11-07 14:08:00,0,39,False
2015-11-07 14:16:00,0,40,False
2015-11-07 14:24:00,0,39,False
2015-11-07 14:32:00,0,42,False
2015-11-07 14:40:00,0,55,False
2015-11-07 14:48:00,0,71,False
2015-11-07 14:56:00,0,100,False
2015-11-07 15:04:00,0,86,False
2015-11-07 15:12:00,1,83,False
2015-11-07 15:20:00,0,72,False
2015-11-07 15:28:00,0,80,False
2015-11-07 15:36:00,0,74,False
2015-11-07 15:44:00,0,85,False
2015-11-07 15:52:00,0,77,False
2015-11-07 16:00:00,0,72,False
2015-11-07 16:08:00,0,80,False
2015-11-07 16:16:00,1,88,False
2015-11-07 16:24:00,0,81,False
2015-11-07 16:32:00,0,90,False
2015-11-07 16:40:00,0,81,False
2015-11-07 16:48:00,0,83,False
2015-11-07 16:56:00,0,78,False
2015-11-07 17:04:00,0,59,False
2015-11-07 17:12:00,0,47,False
2015-11-07 17:20:00,0,43,False
2015-11-07 17:28:00,0,41,False
2015-11-07 17:36:00,0,40,False
2015-11-07 17:44:00,0,34,False
2015-11-07 17:52:00,0,34,False
2015-11-07 18:00:00,0,32,False
2015-11-07 18:08:00,0,35,False
2015-11-07 18:16:00,0,29,False
2015-11-07 18:24:00,0,31,False
2015-11-07 18:32:00,0,29,False
2015-11-07 18:40:00,0,24,False
2015-11-07 18:48:00,0,28,False
2015-11-07 18:56:00,0,22,False
2015-11-21 13:04:00,0,26,False
2015-11-21 13:12:00,0,32,False
2015-11-21 13:20:00,0,34,False
2015-11-21 13:28:00,0,32,False
2015-11-21 13:36:00,0,36,False
