date,West Ham Football Club,isPartial
2016-01-12 20:24:00,47,False
2016-01-12 20:32:00,38,False
2016-01-12 20:40:00,10,False
2016-01-12 20:48:00,58,False
2016-01-12 20:56:00,10,False
2016-01-12 21:04:00,40,False
2016-01-12 21:12:00,50,False
2016-01-12 21:20:00,71,False
2016-01-12 21:28:00,82,False
2016-01-12 21:36:00,73,False
2016-01-12 21:44:00,32,False
2016-01-12 21:52:00,76,False
2016-01-12 22:00:00,100,False
2016-01-12 22:08:00,56,False
2016-01-12 22:16:00,58,False
2016-01-12 22:24:00,35,False
2016-01-12 22:32:00,72,False
2016-01-12 22:40:00,37,False
2016-01-12 22:48:00,12,False
2016-01-12 22:56:00,13,False
2016-01-16 13:04:00,23,False
2016-01-16 13:12:00,0,False
2016-01-16 13:20:00,0,False
2016-01-16 13:28:00,0,False
2016-01-16 13:36:00,11,False
2016-01-16 13:44:00,0,False
2016-01-16 13:52:00,11,False
2016-01-16 14:00:00,21,False
2016-01-16 14:08:00,31,False
2016-01-16 14:16:00,0,False
2016-01-16 14:24:00,10,False
2016-01-16 14:32:00,21,False
2016-01-16 14:40:00,10,False
2016-01-16 14:48:00,20,False
2016-01-16 14:56:00,10,False
2016-01-16 15:04:00,50,False
2016-01-16 15:12:00,40,False
2016-01-16 15:20:00,100,False
2016-01-16 15:28:00,50,False
2016-01-16 15:36:00,40,False
2016-01-16 15:44:00,59,False
2016-01-16 15:52:00,49,False
2016-01-16 16:00:00,59,False
2016-01-16 16:08:00,59,False
2016-01-16 16:16:00,79,False
2016-01-16 16:24:00,49,False
2016-01-16 16:32:00,39,False
2016-01-16 16:40:00,49,False
2016-01-16 16:48:00,30,False
2016-01-16 16:56:00,39,False
2016-01-16 17:04:00,10,False
2016-01-16 17:12:00,30,False
2016-01-16 17:20:00,50,False
2016-01-16 17:28:00,20,False
2016-01-16 17:36:00,0,False
2016-01-16 17:44:00,20,False
2016-01-16 17:52:00,10,False
2016-01-16 18:00:00,30,False
2016-01-16 18:08:00,31,False
2016-01-16 18:16:00,31,False
2016-01-16 18:24:00,21,False
2016-01-16 18:32:00,10,False
2016-01-16 18:40:00,0,False
2016-01-16 18:48:00,21,False
2016-01-16 18:56:00,21,False
2016-01-23 15:04:00,6,False
2016-01-23 15:12:00,17,False
2016-01-23 15:20:00,17,False
2016-01-23 15:28:00,6,False
2016-01-23 15:36:00,11,False
2016-01-23 15:44:00,22,False
2016-01-23 15:52:00,16,False
2016-01-23 16:00:00,11,False
2016-01-23 16:08:00,6,False
2016-01-23 16:16:00,5,False
2016-01-23 16:24:00,16,False
2016-01-23 16:32:00,6,False
2016-01-23 16:40:00,6,False
2016-01-23 16:48:00,11,False
2016-01-23 16:56:00,5,False
2016-01-23 17:04:00,11,False
2016-01-23 17:12:00,28,False
2016-01-23 17:20:00,11,False
2016-01-23 17:28:00,44,False
2016-01-23 17:36:00,73,False
2016-01-23 17:44:00,50,False
2016-01-23 17:52:00,62,False
2016-01-23 18:00:00,97,False
2016-01-23 18:08:00,46,False
2016-01-23 18:16:00,34,False
2016-01-23 18:24:00,46,False
2016-01-23 18:32:00,75,False
2016-01-23 18:40:00,59,False
2016-01-23 18:48:00,100,False
2016-01-23 18:56:00,77,False
2016-01-23 19:04:00,72,False
2016-01-23 19:12:00,78,False
2016-01-23 19:20:00,42,False
2016-01-23 19:28:00,36,False
2016-01-23 19:36:00,49,False
2016-01-23 19:44:00,12,False
2016-01-23 19:52:00,43,False
2016-01-23 20:00:00,12,False
2016-01-23 20:08:00,25,False
2016-01-23 20:16:00,57,False
2016-01-23 20:24:00,38,False
2016-01-23 20:32:00,32,False
2016-01-23 20:40:00,45,False
2016-01-23 20:48:00,6,False
2016-01-23 20:56:00,20,False
2016-02-02 17:04:00,0,False
2016-02-02 17:12:00,3,False
2016-02-02 17:20:00,0,False
2016-02-02 17:28:00,4,False
2016-02-02 17:36:00,18,False
2016-02-02 17:44:00,7,False
2016-02-02 17:52:00,7,False
2016-02-02 18:00:00,4,False
2016-02-02 18:08:00,7,False
2016-02-02 18:16:00,7,False
2016-02-02 18:24:00,4,False
2016-02-02 18:32:00,7,False
2016-02-02 18:40:00,11,False
2016-02-02 18:48:00,7,False
2016-02-02 18:56:00,11,False
2016-02-02 19:04:00,7,False
2016-02-02 19:12:00,11,False
2016-02-02 19:20:00,11,False
2016-02-02 19:28:00,4,False
2016-02-02 19:36:00,22,False
2016-02-02 19:44:00,4,False
2016-02-02 19:52:00,44,False
2016-02-02 20:00:00,26,False
2016-02-02 20:08:00,23,False
2016-02-02 20:16:00,27,False
2016-02-02 20:24:00,27,False
2016-02-02 20:32:00,42,False
2016-02-02 20:40:00,31,False
2016-02-02 20:48:00,19,False
2016-02-02 20:56:00,43,False
2016-02-02 21:04:00,44,False
2016-02-02 21:12:00,56,False
2016-02-02 21:20:00,37,False
2016-02-02 21:28:00,29,False
2016-02-02 21:36:00,100,False
2016-02-02 21:44:00,63,False
2016-02-02 21:52:00,43,False
2016-02-02 22:00:00,22,False
2016-02-02 22:08:00,32,False
2016-02-02 22:16:00,18,False
2016-02-02 22:24:00,28,False
2016-02-02 22:32:00,0,False
2016-02-02 22:40:00,29,False
2016-02-02 22:48:00,0,False
2016-02-02 22:56:00,26,False
2016-02-06 15:04:00,0,False
2016-02-06 15:12:00,26,False
2016-02-06 15:20:00,35,False
2016-02-06 15:28:00,9,False
2016-02-06 15:36:00,43,False
2016-02-06 15:44:00,9,False
2016-02-06 15:52:00,26,False
2016-02-06 16:00:00,17,False
2016-02-06 16:08:00,17,False
2016-02-06 16:16:00,17,False
2016-02-06 16:24:00,25,False
2016-02-06 16:32:00,0,False
2016-02-06 16:40:00,9,False
2016-02-06 16:48:00,26,False
2016-02-06 16:56:00,17,False
2016-02-06 17:04:00,17,False
2016-02-06 17:12:00,26,False
2016-02-06 17:20:00,9,False
2016-02-06 17:28:00,26,False
2016-02-06 17:36:00,69,False
2016-02-06 17:44:00,69,False
2016-02-06 17:52:00,35,False
2016-02-06 18:00:00,35,False
2016-02-06 18:08:00,53,False
2016-02-06 18:16:00,62,False
2016-02-06 18:24:00,54,False
2016-02-06 18:32:00,27,False
2016-02-06 18:40:00,100,False
2016-02-06 18:48:00,73,False
2016-02-06 18:56:00,46,False
2016-02-06 19:04:00,37,False
2016-02-06 19:12:00,75,False
2016-02-06 19:20:00,85,False
2016-02-06 19:28:00,28,False
2016-02-06 19:36:00,19,False
2016-02-06 19:44:00,57,False
2016-02-06 19:52:00,48,False
2016-02-06 20:00:00,19,False
2016-02-06 20:08:00,20,False
2016-02-06 20:16:00,20,False
2016-02-06 20:24:00,10,False
2016-02-06 20:32:00,40,False
2016-02-06 20:40:00,0,False
2016-02-06 20:48:00,20,False
2016-02-06 20:56:00,30,False
2016-02-13 13:04:00,0,False
2016-02-13 13:12:00,0,False
2016-02-13 13:20:00,6,False
2016-02-13 13:28:00,0,False
2016-02-13 13:36:00,25,False
2016-02-13 13:44:00,12,False
