date,Stoke City Football Club,isPartial
2015-11-21 18:16:00,0,False
2015-11-21 18:24:00,0,False
2015-11-21 18:32:00,51,False
2015-11-21 18:40:00,51,False
2015-11-21 18:48:00,0,False
2015-11-21 18:56:00,0,False
2015-11-28 13:04:00,0,False
2015-11-28 13:12:00,55,False
2015-11-28 13:20:00,0,False
2015-11-28 13:28:00,0,False
2015-11-28 13:36:00,0,False
2015-11-28 13:44:00,0,False
2015-11-28 13:52:00,0,False
2015-11-28 14:00:00,0,False
2015-11-28 14:08:00,0,False
2015-11-28 14:16:00,0,False
2015-11-28 14:24:00,0,False
2015-11-28 14:32:00,0,False
2015-11-28 14:40:00,51,False
2015-11-28 14:48:00,0,False
2015-11-28 14:56:00,0,False
2015-11-28 15:04:00,100,False
2015-11-28 15:12:00,99,False
2015-11-28 15:20:00,49,False
2015-11-28 15:28:00,0,False
2015-11-28 15:36:00,0,False
2015-11-28 15:44:00,0,False
2015-11-28 15:52:00,97,False
2015-11-28 16:00:00,49,False
2015-11-28 16:08:00,49,False
2015-11-28 16:16:00,0,False
2015-11-28 16:24:00,0,False
2015-11-28 16:32:00,0,False
2015-11-28 16:40:00,49,False
2015-11-28 16:48:00,0,False
2015-11-28 16:56:00,0,False
2015-11-28 17:04:00,0,False
2015-11-28 17:12:00,0,False
2015-11-28 17:20:00,0,False
2015-11-28 17:28:00,49,False
2015-11-28 17:36:00,0,False
2015-11-28 17:44:00,0,False
2015-11-28 17:52:00,0,False
2015-11-28 18:00:00,0,False
2015-11-28 18:08:00,0,False
2015-11-28 18:16:00,51,False
2015-11-28 18:24:00,0,False
2015-11-28 18:32:00,0,False
2015-11-28 18:40:00,52,False
2015-11-28 18:48:00,0,False
2015-11-28 18:56:00,53,False
2015-12-05 10:00:00,0,False
2015-12-05 10:08:00,0,False
2015-12-05 10:16:00,17,False
2015-12-05 10:24:00,0,False
2015-12-05 10:32:00,0,False
2015-12-05 10:40:00,0,False
2015-12-05 10:48:00,0,False
2015-12-05 10:56:00,34,False
2015-12-05 11:04:00,17,False
2015-12-05 11:12:00,17,False
2015-12-05 11:20:00,16,False
2015-12-05 11:28:00,0,False
2015-12-05 11:36:00,16,False
2015-12-05 11:44:00,0,False
2015-12-05 11:52:00,0,False
2015-12-05 12:00:00,0,False
2015-12-05 12:08:00,0,False
2015-12-05 12:16:00,0,False
2015-12-05 12:24:00,0,False
2015-12-05 12:32:00,15,False
2015-12-05 12:40:00,15,False
2015-12-05 12:48:00,0,False
2015-12-05 12:56:00,58,False
2015-12-05 13:04:00,100,False
2015-12-05 13:12:00,28,False
2015-12-05 13:20:00,56,False
2015-12-05 13:28:00,56,False
2015-12-05 13:36:00,55,False
2015-12-05 13:44:00,27,False
2015-12-05 13:52:00,27,False
2015-12-05 14:00:00,81,False
2015-12-05 14:08:00,54,False
2015-12-05 14:16:00,27,False
2015-12-05 14:24:00,13,False
2015-12-05 14:32:00,40,False
2015-12-05 14:40:00,39,False
2015-12-05 14:48:00,0,False
2015-12-05 14:56:00,26,False
2015-12-05 15:04:00,0,False
2015-12-05 15:12:00,0,False
2015-12-05 15:20:00,0,False
2015-12-05 15:28:00,13,False
2015-12-05 15:36:00,0,False
2015-12-05 15:44:00,13,False
2015-12-05 15:52:00,0,False
2015-12-05 16:00:00,0,False
2015-12-12 13:04:00,0,False
2015-12-12 13:12:00,52,False
2015-12-12 13:20:00,52,False
2015-12-12 13:28:00,0,False
2015-12-12 13:36:00,0,False
2015-12-12 13:44:00,0,False
2015-12-12 13:52:00,0,False
2015-12-12 14:00:00,50,False
2015-12-12 14:08:00,50,False
2015-12-12 14:16:00,0,False
2015-12-12 14:24:00,0,False
2015-12-12 14:32:00,49,False
2015-12-12 14:40:00,0,False
2015-12-12 14:48:00,0,False
2015-12-12 14:56:00,0,False
2015-12-12 15:04:00,48,False
2015-12-12 15:12:00,0,False
2015-12-12 15:20:00,47,False
2015-12-12 15:28:00,0,False
2015-12-12 15:36:00,47,False
2015-12-12 15:44:00,47,False
2015-12-12 15:52:00,47,False
2015-12-12 16:00:00,47,False
2015-12-12 16:08:00,47,False
2015-12-12 16:16:00,47,False
2015-12-12 16:24:00,0,False
2015-12-12 16:32:00,0,False
2015-12-12 16:40:00,0,False
2015-12-12 16:48:00,93,False
2015-12-12 16:56:00,0,False
2015-12-12 17:04:00,93,False
2015-12-12 17:12:00,47,False
2015-12-12 17:20:00,0,False
2015-12-12 17:28:00,0,False
2015-12-12 17:36:00,0,False
2015-12-12 17:44:00,0,False
2015-12-12 17:52:00,48,False
2015-12-12 18:00:00,0,False
2015-12-12 18:08:00,0,False
2015-12-12 18:16:00,49,False
2015-12-12 18:24:00,49,False
2015-12-12 18:32:00,50,False
2015-12-12 18:40:00,100,False
2015-12-12 18:48:00,0,False
2015-12-12 18:56:00,0,False
2015-12-19 13:04:00,46,False
2015-12-19 13:12:00,0,False
2015-12-19 13:20:00,45,False
2015-12-19 13:28:00,0,False
2015-12-19 13:36:00,22,False
2015-12-19 13:44:00,22,False
2015-12-19 13:52:00,22,False
2015-12-19 14:00:00,22,False
2015-12-19 14:08:00,21,False
2015-12-19 14:16:00,0,False
2015-12-19 14:24:00,21,False
2015-12-19 14:32:00,0,False
2015-12-19 14:40:00,21,False
2015-12-19 14:48:00,0,False
2015-12-19 14:56:00,0,False
2015-12-19 15:04:00,0,False
2015-12-19 15:12:00,20,False
2015-12-19 15:20:00,40,False
2015-12-19 15:28:00,20,False
2015-12-19 15:36:00,40,False
2015-12-19 15:44:00,20,False
2015-12-19 15:52:00,20,False
2015-12-19 16:00:00,0,False
2015-12-19 16:08:00,40,False
2015-12-19 16:16:00,100,False
2015-12-19 16:24:00,20,False
2015-12-19 16:32:00,60,False
2015-12-19 16:40:00,20,False
2015-12-19 16:48:00,40,False
2015-12-19 16:56:00,40,False
2015-12-19 17:04:00,60,False
2015-12-19 17:12:00,0,False
2015-12-19 17:20:00,0,False
2015-12-19 17:28:00,41,False
2015-12-19 17:36:00,0,False
2015-12-19 17:44:00,41,False
2015-12-19 17:52:00,21,False
2015-12-19 18:00:00,42,False
2015-12-19 18:08:00,21,False
2015-12-19 18:16:00,21,False
2015-12-19 18:24:00,42,False
2015-12-19 18:32:00,0,False
2015-12-19 18:40:00,0,False
2015-12-19 18:48:00,0,False
2015-12-19 18:56:00,0,False
2015-12-26 10:00:00,22,False
2015-12-26 10:08:00,7,False
2015-12-26 10:16:00,7,False
2015-12-26 10:24:00,14,False
2015-12-26 10:32:00,14,False
2015-12-26 10:40:00,21,False
2015-12-26 10:48:00,21,False
2015-12-26 10:56:00,7,False
2015-12-26 11:04:00,0,False
2015-12-26 11:12:00,7,False
2015-12-26 11:20:00,7,False
2015-12-26 11:28:00,0,False
2015-12-26 11:36:00,7,False
2015-12-26 11:44:00,26,False
2015-12-26 11:52:00,7,False
2015-12-26 12:00:00,0,False
2015-12-26 12:08:00,13,False
2015-12-26 12:16:00,6,False
2015-12-26 12:24:00,19,False
2015-12-26 12:32:00,12,False
2015-12-26 12:40:00,31,False
2015-12-26 12:48:00,37,False
2015-12-26 12:56:00,36,False
2015-12-26 13:04:00,60,False
2015-12-26 13:12:00,100,False
2015-12-26 13:20:00,64,False
2015-12-26 13:28:00,58,False
2015-12-26 13:36:00,45,False
2015-12-26 13:44:00,11,False
2015-12-26 13:52:00,57,False
2015-12-26 14:00:00,50,False
2015-12-26 14:08:00,44,False
2015-12-26 14:16:00,55,False
2015-12-26 14:24:00,49,False
2015-12-26 14:32:00,49,False
2015-12-26 14:40:00,32,False
2015-12-26 14:48:00,21,False
2015-12-26 14:56:00,16,False
2015-12-26 15:04:00,16,False
2015-12-26 15:12:00,10,False
2015-12-26 15:20:00,26,False
2015-12-26 15:28:00,5,False
2015-12-26 15:36:00,26,False
2015-12-26 15:44:00,10,False
2015-12-26 15:52:00,25,False
2015-12-26 16:00:00,5,False
2015-12-28 13:04:00,14,False
2015-12-28 13:12:00,0,False
2015-12-28 13:20:00,14,False
2015-12-28 13:28:00,0,False
2015-12-28 13:36:00,0,False
