date,Newcastle United Football Club,Newcastle,isPartial
2016-01-12 22:16:00,0,51,False
2016-01-12 22:24:00,0,49,False
2016-01-12 22:32:00,0,46,False
2016-01-12 22:40:00,0,43,False
2016-01-12 22:48:00,0,40,False
2016-01-12 22:56:00,0,40,False
2016-01-16 01:04:00,0,35,False
2016-01-16 01:12:00,0,33,False
2016-01-16 01:20:00,0,32,False
2016-01-16 01:28:00,0,32,False
2016-01-16 01:36:00,0,29,False
2016-01-16 01:44:00,0,30,False
2016-01-16 01:52:00,0,30,False
2016-01-16 02:00:00,0,27,False
2016-01-16 02:08:00,0,30,False
2016-01-16 02:16:00,0,28,False
2016-01-16 02:24:00,0,30,False
2016-01-16 02:32:00,0,29,False
2016-01-16 02:40:00,0,29,False
2016-01-16 02:48:00,0,29,False
2016-01-16 02:56:00,0,28,False
2016-01-16 03:04:00,0,29,False
2016-01-16 03:12:00,0,25,False
2016-01-16 03:20:00,0,28,False
2016-01-16 03:28:00,0,26,False
2016-01-16 03:36:00,0,29,False
2016-01-16 03:44:00,0,32,False
2016-01-16 03:52:00,0,28,False
2016-01-16 04:00:00,0,27,False
2016-01-16 04:08:00,0,32,False
2016-01-16 04:16:00,0,29,False
2016-01-16 04:24:00,0,33,False
2016-01-16 04:32:00,0,33,False
2016-01-16 04:40:00,0,35,False
2016-01-16 04:48:00,0,32,False
2016-01-16 04:56:00,0,32,False
2016-01-16 05:04:00,0,32,False
2016-01-16 05:12:00,0,31,False
2016-01-16 05:20:00,0,35,False
2016-01-16 05:28:00,0,30,False
2016-01-16 05:36:00,0,35,False
2016-01-16 05:44:00,0,35,False
2016-01-16 05:52:00,0,33,False
2016-01-16 06:00:00,0,32,False
2016-01-16 06:08:00,0,36,False
2016-01-16 06:16:00,0,33,False
2016-01-16 06:24:00,0,37,False
2016-01-16 06:32:00,0,33,False
2016-01-16 06:40:00,0,33,False
2016-01-16 06:48:00,0,37,False
2016-01-16 06:56:00,0,38,False
2016-01-16 07:04:00,0,37,False
2016-01-16 07:12:00,0,42,False
2016-01-16 07:20:00,0,40,False
2016-01-16 07:28:00,0,39,False
2016-01-16 07:36:00,0,42,False
2016-01-16 07:44:00,0,42,False
2016-01-16 07:52:00,0,46,False
2016-01-16 08:00:00,0,44,False
2016-01-16 08:08:00,0,45,False
2016-01-16 08:16:00,0,49,False
2016-01-16 08:24:00,0,51,False
2016-01-16 08:32:00,0,48,False
2016-01-16 08:40:00,0,50,False
2016-01-16 08:48:00,0,52,False
2016-01-16 08:56:00,0,52,False
2016-01-16 09:04:00,0,54,False
2016-01-16 09:12:00,0,56,False
2016-01-16 09:20:00,0,58,False
2016-01-16 09:28:00,0,54,False
2016-01-16 09:36:00,0,59,False
2016-01-16 09:44:00,0,57,False
2016-01-16 09:52:00,0,58,False
2016-01-16 10:00:00,0,57,False
2016-01-16 10:08:00,0,57,False
2016-01-16 10:16:00,0,58,False
2016-01-16 10:24:00,0,59,False
2016-01-16 10:32:00,0,59,False
2016-01-16 10:40:00,0,57,False
2016-01-16 10:48:00,0,61,False
2016-01-16 10:56:00,0,61,False
2016-01-16 11:04:00,0,59,False
2016-01-16 11:12:00,0,56,False
2016-01-16 11:20:00,0,58,False
2016-01-16 11:28:00,0,58,False
2016-01-16 11:36:00,0,56,False
2016-01-16 11:44:00,0,55,False
2016-01-16 11:52:00,0,57,False
2016-01-16 12:00:00,0,51,False
2016-01-16 12:08:00,0,56,False
2016-01-16 12:16:00,0,53,False
2016-01-16 12:24:00,0,54,False
2016-01-16 12:32:00,0,53,False
2016-01-16 12:40:00,0,52,False
2016-01-16 12:48:00,0,51,False
2016-01-16 12:56:00,0,54,False
2016-01-16 13:04:00,0,49,False
2016-01-16 13:12:00,0,51,False
2016-01-16 13:20:00,0,46,False
2016-01-16 13:28:00,0,47,False
